# freq, loss
5.352783200000e+01 9.961471451522e-01
5.357666000000e+01 9.961437158317e-01
5.362548800000e+01 9.961402841631e-01
5.367431600000e+01 9.961368543023e-01
5.372314500000e+01 9.961334302278e-01
5.377197300000e+01 9.961300160064e-01
5.382080100000e+01 9.961266153578e-01
5.386962900000e+01 9.961232319222e-01
5.391845700000e+01 9.961198691780e-01
5.396728500000e+01 9.961165304316e-01
5.401611300000e+01 9.961132188074e-01
5.406494100000e+01 9.961099372396e-01
5.411377000000e+01 9.961066883987e-01
5.416259800000e+01 9.961034749511e-01
5.421142600000e+01 9.961002991545e-01
5.426025400000e+01 9.960971631216e-01
5.430908200000e+01 9.960940687496e-01
5.435791000000e+01 9.960910177192e-01
5.440673800000e+01 9.960880114936e-01
5.445556600000e+01 9.960850513185e-01
5.450439500000e+01 9.960821381648e-01
5.455322300000e+01 9.960792729677e-01
5.460205100000e+01 9.960764562719e-01
5.465087900000e+01 9.960736884751e-01
5.469970700000e+01 9.960709697723e-01
5.474853500000e+01 9.960683001608e-01
5.479736300000e+01 9.960656794463e-01
5.484619100000e+01 9.960631072493e-01
5.489502000000e+01 9.960605829610e-01
5.494384800000e+01 9.960581059564e-01
5.499267600000e+01 9.960556752925e-01
5.504150400000e+01 9.960532899244e-01
5.509033200000e+01 9.960509486616e-01
5.513916000000e+01 9.960486501775e-01
5.518798800000e+01 9.960463930184e-01
5.523681600000e+01 9.960441756134e-01
5.528564500000e+01 9.960419962395e-01
5.533447300000e+01 9.960398532096e-01
5.538330100000e+01 9.960377446142e-01
5.543212900000e+01 9.960356685110e-01
5.548095700000e+01 9.960336228899e-01
5.552978500000e+01 9.960316056824e-01
5.557861300000e+01 9.960296147719e-01
5.562744100000e+01 9.960276480030e-01
5.567627000000e+01 9.960257031517e-01
5.572509800000e+01 9.960237780934e-01
5.577392600000e+01 9.960218705731e-01
5.582275400000e+01 9.960199783739e-01
5.587158200000e+01 9.960180992857e-01
5.592041000000e+01 9.960162311132e-01
5.596923800000e+01 9.960143716840e-01
5.601806600000e+01 9.960125188561e-01
5.606689500000e+01 9.960106704872e-01
5.611572300000e+01 9.960088245931e-01
5.616455100000e+01 9.960069791267e-01
5.621337900000e+01 9.960051321357e-01
5.626220700000e+01 9.960032817302e-01
5.631103500000e+01 9.960014260879e-01
5.635986300000e+01 9.959995634588e-01
5.640869100000e+01 9.959976921695e-01
5.645752000000e+01 9.959958105884e-01
5.650634800000e+01 9.959939172836e-01
5.655517600000e+01 9.959920107941e-01
5.660400400000e+01 9.959900897872e-01
5.665283200000e+01 9.959881530212e-01
5.670166000000e+01 9.959861993478e-01
5.675048800000e+01 9.959842277130e-01
5.679931600000e+01 9.959822371579e-01
5.684814500000e+01 9.959802267780e-01
5.689697300000e+01 9.959781958883e-01
5.694580100000e+01 9.959761437758e-01
5.699462900000e+01 9.959740698634e-01
5.704345700000e+01 9.959719736678e-01
5.709228500000e+01 9.959698547979e-01
5.714111300000e+01 9.959677129536e-01
5.718994100000e+01 9.959655479238e-01
5.723877000000e+01 9.959633595388e-01
5.728759800000e+01 9.959611478480e-01
5.733642600000e+01 9.959589128478e-01
5.738525400000e+01 9.959566546582e-01
5.743408200000e+01 9.959543734743e-01
5.748291000000e+01 9.959520695638e-01
5.753173800000e+01 9.959497432627e-01
5.758056600000e+01 9.959473949724e-01
5.762939500000e+01 9.959450251071e-01
5.767822300000e+01 9.959426342843e-01
5.772705100000e+01 9.959402230298e-01
5.777587900000e+01 9.959377919675e-01
5.782470700000e+01 9.959353417674e-01
5.787353500000e+01 9.959328731410e-01
5.792236300000e+01 9.959303868374e-01
5.797119100000e+01 9.959278836397e-01
5.802002000000e+01 9.959253643089e-01
5.806884800000e+01 9.959228297866e-01
5.811767600000e+01 9.959202808818e-01
5.816650400000e+01 9.959177184728e-01
5.821533200000e+01 9.959151434523e-01
5.826416000000e+01 9.959125567235e-01
5.831298800000e+01 9.959099591970e-01
5.836181600000e+01 9.959073517868e-01
5.841064500000e+01 9.959047353538e-01
5.845947300000e+01 9.959021109168e-01
5.850830100000e+01 9.958994793285e-01
5.855712900000e+01 9.958968414862e-01
5.860595700000e+01 9.958941982761e-01
5.865478500000e+01 9.958915505705e-01
5.870361300000e+01 9.958888992256e-01
5.875244100000e+01 9.958862450793e-01
