# freq, amb_real amb_imag hot_real hot_imag open_real open_imag short_real short_imag lna_real lna_imag
5.317382800000e+01 -1.790231887674e-03 1.686572319642e-04 3.584451058348e-03 2.852397294321e-03 7.455254949780e-01 5.631280923849e-01 -7.646373090363e-01 -5.562865683984e-01 6.527926318635e-03 5.658693310236e-03
5.322265600000e+01 -1.790033680276e-03 1.688674190283e-04 3.586547431261e-03 2.853186807927e-03 7.500036905315e-01 5.571795614205e-01 -7.690674926492e-01 -5.500207157388e-01 6.539460102291e-03 5.623991214210e-03
5.327148400000e+01 -1.789834776814e-03 1.690772182639e-04 3.588644418288e-03 2.853972613126e-03 7.544350842367e-01 5.511948908161e-01 -7.734457668545e-01 -5.437203310365e-01 6.550785738735e-03 5.589302708304e-03
5.332031200000e+01 -1.789635167825e-03 1.692865442063e-04 3.590742034474e-03 2.854754572940e-03 7.588193791667e-01 5.451744377787e-01 -7.777718700542e-01 -5.373858550722e-01 6.561904676040e-03 5.554628664881e-03
5.336914100000e+01 -1.789434841509e-03 1.694953219985e-04 3.592840333123e-03 2.855532578409e-03 7.631563693563e-01 5.391184377135e-01 -7.820456313870e-01 -5.310175996377e-01 6.572818571525e-03 5.519969238265e-03
5.341796900000e+01 -1.789233800103e-03 1.697034700753e-04 3.594939234096e-03 2.856306484507e-03 7.674455855137e-01 5.330275010274e-01 -7.862666217132e-01 -5.246162698757e-01 6.583528402072e-03 5.485326703724e-03
5.346679700000e+01 -1.789032035216e-03 1.699109255996e-04 3.597038781832e-03 2.857076205314e-03 7.716868279725e-01 5.269018689477e-01 -7.904346787856e-01 -5.181821817201e-01 6.594035805310e-03 5.450701198616e-03
5.351562500000e+01 -1.788829544181e-03 1.701176271318e-04 3.599138973670e-03 2.857841649776e-03 7.758798104552e-01 5.207419088815e-01 -7.945495560811e-01 -5.117157828661e-01 6.604342181556e-03 5.416093562018e-03
5.356445300000e+01 -1.788626325906e-03 1.703235187001e-04 3.601239802994e-03 2.858602737269e-03 7.800242494023e-01 5.145479907303e-01 -7.986110108753e-01 -5.052175226644e-01 6.614448919569e-03 5.381504624792e-03
5.361328100000e+01 -1.788422380833e-03 1.705285495946e-04 3.603341259420e-03 2.859359397196e-03 7.841198639930e-01 5.083204868674e-01 -8.026188042546e-01 -4.986878520917e-01 6.624357396704e-03 5.346935209638e-03
5.366210900000e+01 -1.788217710886e-03 1.707326741654e-04 3.605443328971e-03 2.860111568593e-03 7.881663761669e-01 5.020597721156e-01 -8.065727011270e-01 -4.921272237208e-01 6.634068979056e-03 5.312386131129e-03
5.371093800000e+01 -1.788012315214e-03 1.709358557766e-04 3.607546037324e-03 2.860859215006e-03 7.921635919993e-01 4.957660944986e-01 -8.104725495450e-01 -4.855359563946e-01 6.643585214504e-03 5.277857488850e-03
5.375976600000e+01 -1.787806206986e-03 1.711380499883e-04 3.609649277713e-03 2.861602262958e-03 7.961110752860e-01 4.894400914611e-01 -8.143179623547e-01 -4.789147757691e-01 6.652907057299e-03 5.243351495542e-03
5.380859400000e+01 -1.787599388101e-03 1.713392293354e-04 3.611753069478e-03 2.862340693455e-03 8.000086387415e-01 4.830820164810e-01 -8.181087964179e-01 -4.722640043489e-01 6.662036037503e-03 5.208868234319e-03
5.385742200000e+01 -1.787391865963e-03 1.715393664789e-04 3.613857385987e-03 2.863074480281e-03 8.038560155558e-01 4.766922539522e-01 -8.218448320387e-01 -4.655841007895e-01 6.670973477597e-03 5.174408487701e-03
5.390625000000e+01 -1.787183649230e-03 1.717384381964e-04 3.615962197853e-03 2.863803605002e-03 8.076529417824e-01 4.702711906045e-01 -8.255258533962e-01 -4.588755251911e-01 6.679720689497e-03 5.139973030301e-03
5.395507800000e+01 -1.786974747771e-03 1.719364252063e-04 3.618067473089e-03 2.864528056625e-03 8.113991563584e-01 4.638192154803e-01 -8.291516485543e-01 -4.521387390674e-01 6.688278974694e-03 5.105562628869e-03
5.400390600000e+01 -1.786765172625e-03 1.721333119963e-04 3.620173177262e-03 2.865247831256e-03 8.150944011244e-01 4.573367199122e-01 -8.327220094713e-01 -4.453742053148e-01 6.696649624382e-03 5.071178042336e-03
5.405273400000e+01 -1.786554935955e-03 1.723290866551e-04 3.622279273642e-03 2.865962931775e-03 8.187384208439e-01 4.508240974996e-01 -8.362367320090e-01 -4.385823881813e-01 6.704833919586e-03 5.036820021854e-03
5.410156200000e+01 -1.786344051006e-03 1.725237407094e-04 3.624385723347e-03 2.866673367512e-03 8.223309632229e-01 4.442817440858e-01 -8.396956159422e-01 -4.317637532352e-01 6.712833131289e-03 5.002489310842e-03
5.415039100000e+01 -1.786132527725e-03 1.727172729158e-04 3.626492528634e-03 2.867379168341e-03 8.258718509137e-01 4.377099228484e-01 -8.430985340825e-01 -4.249186268814e-01 6.720648678741e-03 4.968185942798e-03
5.419921900000e+01 -1.785920390057e-03 1.729096732746e-04 3.628599560444e-03 2.868080326652e-03 8.293606925281e-01 4.311093032328e-01 -8.464451546719e-01 -4.180477576139e-01 6.728281493115e-03 4.933912050851e-03
5.424804700000e+01 -1.785707649914e-03 1.731009466586e-04 3.630706817421e-03 2.868776883778e-03 8.327973177603e-01 4.244801533848e-01 -8.497353595401e-01 -4.111514748553e-01 6.735732977945e-03 4.899667652658e-03
5.429687500000e+01 -1.785494324451e-03 1.732910967884e-04 3.632814253457e-03 2.869468871792e-03 8.361814862762e-01 4.178228778910e-01 -8.529689641978e-01 -4.042302491398e-01 6.743004365268e-03 4.865453461120e-03
5.434570300000e+01 -1.785280431695e-03 1.734801300633e-04 3.634921820967e-03 2.870156327726e-03 8.395129607778e-01 4.111378834653e-01 -8.561457881096e-01 -3.972845521635e-01 6.750096877684e-03 4.831270181615e-03
5.439453100000e+01 -1.785065990508e-03 1.736680554208e-04 3.637029471014e-03 2.870839293293e-03 8.427915070223e-01 4.044255789255e-01 -8.592656547012e-01 -3.903148567524e-01 6.757011728468e-03 4.797118512039e-03
5.444335900000e+01 -1.784851020548e-03 1.738548842003e-04 3.639137153428e-03 2.871517814619e-03 8.460168938395e-01 3.976863751703e-01 -8.623283913666e-01 -3.833216368300e-01 6.763750121679e-03 4.762999142844e-03
5.449218800000e+01 -1.784635537809e-03 1.740406338028e-04 3.641244860091e-03 2.872191955743e-03 8.491889575648e-01 3.909205463250e-01 -8.653338904386e-01 -3.763052234592e-01 6.770313384905e-03 4.728912059338e-03
5.454101600000e+01 -1.784419572250e-03 1.742253123679e-04 3.643352452389e-03 2.872861743229e-03 8.523073432981e-01 3.841287845091e-01 -8.682818641615e-01 -3.692663800574e-01 6.776702435307e-03 4.694859333410e-03
5.458984400000e+01 -1.784203141274e-03 1.744089414715e-04 3.645459920316e-03 2.873527248750e-03 8.553718947054e-01 3.773113684295e-01 -8.711722140126e-01 -3.622054401884e-01 6.782918586169e-03 4.660840935009e-03
5.463867200000e+01 -1.783986267335e-03 1.745915407661e-04 3.647567209923e-03 2.874188533537e-03 8.583823930858e-01 3.704687170708e-01 -8.740047833232e-01 -3.551228818431e-01 6.788963005794e-03 4.626857525239e-03
5.468750000000e+01 -1.783768973491e-03 1.747731316766e-04 3.649674266583e-03 2.874845661992e-03 8.613386228996e-01 3.636012513801e-01 -8.767794194240e-01 -3.480191839476e-01 6.794836853808e-03 4.592909757968e-03
5.473632800000e+01 -1.783551283370e-03 1.749537372849e-04 3.651781035097e-03 2.875498701467e-03 8.642403717849e-01 3.567093942428e-01 -8.794959736500e-01 -3.408948263309e-01 6.800541281261e-03 4.558998279873e-03
