# freq, amb_real amb_imag hot_real hot_imag open_real open_imag short_real short_imag lna_real lna_imag rig_s11_real rig_s11_imag rig_s12_real rig_s12_imag rig_s22_real rig_s22_imag
4.049072300000e+01 -2.132111831758e-01 -2.096608117753e-01 -1.140727517160e-01 -2.751640886259e-02 -1.195446463117e+00 -1.260166328841e-01 5.403227915951e-01 -2.938565044971e-01 -4.398623663010e-03 2.284951943821e-02 1.003645034726e+00 -1.831814137053e-01 1.945162294776e-01 -4.378381715959e-01 -4.528975129495e-01 1.127313814295e+00
4.053955100000e+01 -2.104694618672e-01 -2.068598146787e-01 -1.122925868331e-01 -2.738718899790e-02 -1.193414550434e+00 -1.037037559210e-01 5.400157626759e-01 -2.994405712149e-01 -4.404344019669e-03 2.286967692305e-02 9.904712851414e-01 -1.798794865941e-01 2.039981680878e-01 -4.347776789904e-01 -4.495038266501e-01 1.112415938376e+00
4.058837900000e+01 -2.077104388781e-01 -2.040471585476e-01 -1.105072042365e-01 -2.725175744333e-02 -1.190973499785e+00 -8.154104688259e-02 5.397158506122e-01 -3.050501142322e-01 -4.409729907142e-03 2.288956362191e-02 9.772375442087e-01 -1.765827724501e-01 2.135406042319e-01 -4.317186288573e-01 -4.460191809155e-01 1.097452412910e+00
4.063720700000e+01 -2.049354528005e-01 -2.012242021940e-01 -1.087174615762e-01 -2.711022897154e-02 -1.188130574232e+00 -5.953531735201e-02 5.394204836789e-01 -3.106903556405e-01 -4.414780595269e-03 2.290917841989e-02 9.639502227673e-01 -1.732927782029e-01 2.231389763919e-01 -4.286620376451e-01 -4.424459589724e-01 1.082430443837e+00
4.068603500000e+01 -2.021458392222e-01 -1.983922962181e-01 -1.069242095746e-01 -2.696272135547e-02 -1.184893092842e+00 -3.769306548853e-02 5.391268071289e-01 -3.163663722387e-01 -4.419495405363e-03 2.292852023376e-02 9.506156962274e-01 -1.700109880891e-01 2.327887286492e-01 -4.256089150747e-01 -4.387865871324e-01 1.067357197041e+00
4.073486300000e+01 -1.993429297125e-01 -1.955527820043e-01 -1.051282913995e-01 -2.680935524700e-02 -1.181268417478e+00 -1.602047957911e-02 5.388316911307e-01 -3.220830825512e-01 -4.423873710363e-03 2.294758801196e-02 9.372402998105e-01 -1.667388626175e-01 2.424853142198e-01 -4.225602634488e-01 -4.350435323807e-01 1.052239793017e+00
4.078369100000e+01 -1.965280508200e-01 -1.927069907355e-01 -1.033305420504e-01 -2.665025405405e-02 -1.177263939946e+00 5.476557857189e-03 5.385317392602e-01 -3.278452342658e-01 -4.427914934968e-03 2.296638073473e-02 9.238303238740e-01 -1.634778375684e-01 2.522241989558e-01 -4.195170769714e-01 -4.312192999399e-01 1.037085301627e+00
4.083252000000e+01 -1.937024651160e-01 -1.898561840018e-01 -1.015317509163e-01 -2.648554038632e-02 -1.172886976088e+00 2.679290009396e-02 5.382232910937e-01 -3.336575116908e-01 -4.431618628154e-03 2.298489779053e-02 9.103917338578e-01 -1.602292566353e-01 2.620010653913e-01 -4.164802789580e-01 -4.273163500918e-01 1.021900425716e+00
4.088134800000e+01 -1.908676019089e-01 -1.870017864937e-01 -9.973280856789e-02 -2.631534953797e-02 -1.168145119892e+00 4.792238854776e-02 5.379024571645e-01 -3.395240469563e-01 -4.434984166795e-03 2.300313746484e-02 8.969312672590e-01 -1.569946363629e-01 2.718110144686e-01 -4.134509698179e-01 -4.233374170423e-01 1.006692740629e+00
4.093017600000e+01 -1.880247090405e-01 -1.841450347359e-01 -9.793448513184e-02 -2.613980911709e-02 -1.163045693733e+00 6.886046662152e-02 5.375650911974e-01 -3.454491229135e-01 -4.438011210884e-03 2.302109921565e-02 8.834547777382e-01 -1.537752660322e-01 2.816497704121e-01 -4.104300532226e-01 -4.192850267616e-01 9.914688231778e-01
4.097900400000e+01 -1.851750832223e-01 -1.812872096477e-01 -9.613757709014e-02 -2.595905229898e-02 -1.157596088211e+00 8.960242357999e-02 5.372068255886e-01 -3.514366874738e-01 -4.440699393293e-03 2.303878215084e-02 8.699683312583e-01 -1.505724732138e-01 2.915128838158e-01 -4.074184843970e-01 -4.151618126493e-01 9.762354902917e-01
4.102783200000e+01 -1.823200113434e-01 -1.784295773250e-01 -9.434286991127e-02 -2.577321438095e-02 -1.151803665482e+00 1.101438264614e-01 5.368230760975e-01 -3.574904619799e-01 -4.443048399152e-03 2.305618541034e-02 8.564779269412e-01 -1.473875562877e-01 3.013959347743e-01 -4.044172072362e-01 -4.109704338820e-01 9.609994836089e-01
4.107666000000e+01 -1.794607695593e-01 -1.755733881832e-01 -9.255113752915e-02 -2.558243265274e-02 -1.145675748896e+00 1.304805131602e-01 5.364090531629e-01 -3.636139316154e-01 -4.445057965916e-03 2.307330816613e-02 8.429894929814e-01 -1.442217836636e-01 3.112945361033e-01 -4.014271536987e-01 -4.067135728861e-01 9.457674648900e-01
4.112548800000e+01 -1.765986223981e-01 -1.727198761234e-01 -9.076314183916e-02 -2.538684626624e-02 -1.139219613117e+00 1.506085851323e-01 5.359597735999e-01 -3.698103363718e-01 -4.446727883414e-03 2.309014962227e-02 8.295088826710e-01 -1.410763930419e-01 3.212043365024e-01 -3.984492432127e-01 -4.023939328082e-01 9.305460115526e-01
4.117431600000e+01 -1.737348218862e-01 -1.698702577250e-01 -8.897963221157e-02 -2.518659610485e-02 -1.132442474727e+00 1.705243997503e-01 5.354700726475e-01 -3.760826625891e-01 -4.448057993886e-03 2.310670901490e-02 8.160418705394e-01 -1.379525907131e-01 3.311210236566e-01 -3.954843820980e-01 -3.980142349827e-01 9.153416123336e-01
4.122314500000e+01 -1.708705480391e-01 -1.670256732664e-01 -8.720130866195e-02 -2.498182041336e-02 -1.125351334947e+00 1.902249635664e-01 5.349346048691e-01 -3.824337659740e-01 -4.449048208804e-03 2.312298594271e-02 8.025938734371e-01 -1.348514876295e-01 3.410405304188e-01 -3.925334027171e-01 -3.935771249636e-01 9.001603524610e-01
4.127197300000e+01 -1.680071426766e-01 -1.641874188926e-01 -8.542896697372e-02 -2.477267153486e-02 -1.117953558603e+00 2.097063146198e-01 5.343479016007e-01 -3.888658424457e-01 -4.449698434734e-03 2.313897903937e-02 7.891710481783e-01 -1.317743523612e-01 3.509582251212e-01 -3.895973043851e-01 -3.890855346646e-01 8.850091527490e-01
4.132080100000e+01 -1.651457566173e-01 -1.613565963123e-01 -8.366327972755e-02 -2.455929061273e-02 -1.110255994699e+00 2.289659347691e-01 5.337043182553e-01 -3.953812018039e-01 -4.450008695007e-03 2.315468797358e-02 7.757786354110e-01 -1.287222294253e-01 3.608701334931e-01 -3.866768902023e-01 -3.845421345342e-01 8.698939000319e-01
4.136962900000e+01 -1.622875835463e-01 -1.585343452528e-01 -8.190494169047e-02 -2.434182414528e-02 -1.102265543720e+00 2.480011225929e-01 5.329980902909e-01 -4.019817430797e-01 -4.449979041629e-03 2.317011210989e-02 7.624220584176e-01 -1.256961932810e-01 3.707721288489e-01 -3.837730085866e-01 -3.799496934231e-01 8.548206876317e-01
